merge,5000,0.002804,0.002115,0.002052,
comb,5000,0.001168,0.00028,0.000429,
bubble,5000,0.130526,0.027479,0.123661,
insertion,5000,0.031439,3.1e-05,0.059094,
selection,5000,0.142254,0.136839,0.076659,
quick,5000,0.000744,8.2e-05,8.7e-05,
merge,5000,0.002747,0.002191,0.002175,
comb,5000,0.001087,0.000283,0.000426,
bubble,5000,0.111249,0.019339,0.170579,
insertion,5000,0.031257,3.4e-05,0.054769,
selection,5000,0.110001,0.108177,0.162905,
quick,5000,0.001843,0.000314,0.000316,
merge,5000,0.006508,0.004235,0.004256,
comb,5000,0.002352,0.000587,0.000879,
bubble,5000,0.134413,0.023892,0.113767,
insertion,5000,0.017644,2.1e-05,0.047469,
selection,5000,0.102761,0.077093,0.079946,
quick,5000,0.000754,8.7e-05,0.000139,
merge,5000,0.002868,0.002319,0.00217,
comb,5000,0.001201,0.000295,0.000452,
bubble,5000,0.109663,0.018197,0.101204,
insertion,5000,0.016126,1.8e-05,0.039715,
selection,5000,0.092415,0.091383,0.073884,
quick,5000,0.000687,0.000128,0.000136,
merge,5000,0.002623,0.002048,0.00208,
comb,5000,0.00111,0.000279,0.000439,
bubble,5000,0.111275,0.018668,0.124507,
insertion,5000,0.020681,2.2e-05,0.045203,
selection,5000,0.112523,0.126183,0.150668,
quick,5000,0.00105,0.000178,0.000188,
merge,5000,0.003791,0.002797,0.002788,
comb,5000,0.001486,0.000378,0.000551,
bubble,5000,0.108664,0.020716,0.121821,
insertion,5000,0.015529,1.7e-05,0.039111,
selection,5000,0.098523,0.082669,0.094825,
quick,5000,0.000755,0.000128,0.000145,
merge,5000,0.002805,0.002175,0.002078,
comb,5000,0.001155,0.000294,0.000448,
bubble,5000,0.111167,0.018702,0.127918,
insertion,5000,0.017916,2e-05,0.04866,
selection,5000,0.106865,0.081919,0.083495,
quick,5000,0.00098,0.000136,0.000146,
merge,5000,0.004632,0.002865,0.002881,
comb,5000,0.001464,0.000402,0.000589,
bubble,5000,0.121067,0.021988,0.098133,
insertion,5000,0.014662,1.6e-05,0.038907,
selection,5000,0.093388,0.083734,0.092367,
quick,5000,0.000784,0.00013,0.000133,
merge,5000,0.002964,0.002197,0.00219,
